smiles,LOG_MDR1-MDCK_ER
C#CCOc1ccc(OC)cc1C(N)=O,-0.144326242
CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,0.723417004
CCC(=O)N(C)CC(=O)Nc1cccc(F)c1,-0.15179006
CCC(=O)N(C)c1ccccc1C(=O)O,0.10619339
CCCC(=O)Nc1ccc(C(=O)N(C)C)cc1,0.148709537
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,0.250979855
CCN(C(C)=O)c1ccc(C)cc1C(=O)O,-0.063427454
CCN(CC)C(=O)c1ccc(NC(C)=O)cc1,0.290552817
CCNC(=O)c1ccc(CS(C)(=O)=O)cc1,0.419051029
CCOC(=O)CNC(=O)c1ccc(O)cc1O,-0.152155262
CCS(=O)(=O)N(C)c1ccc(N(C)C)cc1,-0.237408633
CN(C(=O)CSC(C)(C)C)c1ccccc1C#N,-0.092676694
CN(C)C(=O)COc1ccc(N)c(F)c1,-0.115530568
CN(CC(=O)N(C)C)Cc1cc(C#N)ccc1F,-0.147187086
CN(CCc1ccccc1)C(=O)CC#N,-0.17635555
CNC(=O)CN(C)c1cccc(F)c1C#N,-0.131891955
CON(C)C(=O)c1cc(C)ccc1NS(C)(=O)=O,0.182053466
COc1cc(C(=O)O)c(N)c(OC)c1OC,0.227921672
COc1cc(OC)c(OC)cc1CNC(C)(C)C,0.679502073
COc1cccc(C(=O)N(C)CC(F)(F)F)c1OCCCN,1.478798239
COc1cccc(C)c1C(=O)N[C@H](CO)CCSC,0.230012917
C[C@@H](c1ccccc1)N(C)C(=O)NCCN(C)CCO,1.263939325
Cc1cc(Br)ccc1CN(C)C(=O)CO,-0.124739641
Cc1cc(C)cc(OCCN(C)C(=O)NCCS(=O)(=O)N(C)C)c1,1.08284544
Cc1ccc(C(=O)N(C)C)cc1NS(C)(=O)=O,0.919097519
Cc1ccccc1N(CC(=O)N(C)C)S(C)(=O)=O,0.300899835
N=C(N)N/N=C/c1c(Cl)cccc1Cl,-0.264924697
CC#CCCNC(=O)c1cccnc1C,-0.122095506
CC(C)CC(=O)Nc1cccnc1N(C)C,-0.22380915
CCC(=O)NCc1ccnc(N(C)C)c1,-0.056160773
CCCCN(C)C(=O)Nc1cc(C)ccn1,-0.252110262
CCCNC(=O)c1ccnc(N(C)C)c1,-0.21058581
CCN(CC)C(=O)CSCc1cncc(F)c1,-0.148063596
CCOc1cccc(NS(C)(=O)=O)n1,-0.013547001
COc1c(C)cnc(CN(C)S(N)(=O)=O)c1C,0.279969626
Cc1cc(N(CCO)CCCO)ncc1Br,-0.115819631
Cc1ccc(NC(=O)OCC(F)(F)F)cn1,-0.233495204
Cc1ncccc1NC(=O)OC(C)(C)C,-0.121865637
COc1ccc(Cl)cc1NC(=O)CN1CCCN(c2ccc(C(F)(F)F)cn2)CC1,0.241911184
COc1ccc(NC(=O)C(C)N2CCCN(c3ccc(C(F)(F)F)cn3)CC2)cc1,-0.013573742
Cc1ccc(C)c(NC(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)c1,-0.018126003
Cc1ccc(NC(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)c(F)c1,0.036543864
Cc1ccc(NC(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)cc1,-0.067218066
Cc1cccc(NC(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)c1,-0.021923053
O=C(CN1CCCN(c2ccc(C(F)(F)F)cn2)CC1)Nc1cccc(F)c1,-0.099249078
O=C(CN1CCCN(c2ccc(C(F)(F)F)cn2)CC1)Nc1ccccc1,-0.126037772
O=C(CN1CCCN(c2ccc(C(F)(F)F)cn2)CC1)Nc1ccccc1Cl,0.012125249
O=C(CN1CCCN(c2ccc(C(F)(F)F)cn2)CC1)Nc1ccccc1F,-0.173122588
CCCNC(=O)c1c(C)nn(-c2ccccc2)c1C,-0.175258334
CCS(=O)(=O)Cc1ccn(-c2cccc(F)c2)n1,-0.199468216
CCc1c(N)cnn1-c1ccccc1C,-0.169532811
COc1ccc(C)cc1-n1ccc(C(=O)NC(C)C)n1,-0.263596755
