smiles,LOG_RLM_CLint
C#CCOc1ccc(OC)cc1C(N)=O,1.8650862
CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,2.180916867
CC(=O)N(CC(N)=O)c1ccc(C)cc1,1.631200171
CC(C)NC(=O)CN(C#N)c1ccccc1,1.027920136
CCC(=O)N(C)CC(=O)Nc1cccc(F)c1,1.084719232
CCC(=O)N(C)c1ccccc1C(=O)O,3.052677785
CCCC(=O)Nc1ccc(C(=O)N(C)C)cc1,1.704605172
CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,1.230448921
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,1.027920136
CCCN(C(=O)c1ccccc1N)C(C)C,2.533638624
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,1.180527283
CCN(C(C)=O)c1ccc(C)cc1C(=O)O,1.027920136
CCN(CC)C(=O)c1ccc(NC(C)=O)cc1,1.409070438
CCNC(=O)c1ccc(CS(C)(=O)=O)cc1,1.314920056
CCOC(=O)CNC(=O)c1ccc(O)cc1O,2.05592086
CCS(=O)(=O)CC(=O)Nc1cc(C)ccc1C,1.027920136
CCS(=O)(=O)N(C)c1ccc(N(C)C)cc1,3.474097618
CN(C(=O)CSC(C)(C)C)c1ccccc1C#N,2.836985815
CN(C)C(=O)COc1ccc(N)c(F)c1,1.027920136
CN(CC(=O)N(C)C)Cc1cc(C#N)ccc1F,1.58043455
CN(CCC#N)Cc1cc(C#N)ccc1F,1.027920136
CN(CCc1ccccc1)C(=O)CC#N,1.027920136
CN(c1ccccc1N)S(C)(=O)=O,1.381494133
CNC(=O)CN(C)c1cccc(F)c1C#N,1.181957861
CON(C)C(=O)c1cc(C)ccc1NS(C)(=O)=O,1.027920136
COc1cc(C(=O)O)c(N)c(OC)c1OC,1.027920136
COc1cc(OC)c(OC)cc1CNC(C)(C)C,2.042862847
COc1cccc(C(=O)N(C)CC(F)(F)F)c1OCCCN,1.914142097
COc1cccc(C)c1C(=O)N[C@H](CO)CCSC,2.869796522
C[C@@H](c1ccccc1)N(C)C(=O)NCCN(C)CCO,3.058071307
Cc1cc(Br)ccc1CN(C)C(=O)CO,1.455819024
Cc1cc(C)cc(OCCN(C)C(=O)NCCS(=O)(=O)N(C)C)c1,3.039175688
Cc1ccc(C(=O)N(C)C)cc1NS(C)(=O)=O,1.027920136
Cc1ccccc1N(CC(=O)N(C)C)S(C)(=O)=O,2.742340143
N#CCNC(=O)c1ccc(C#N)c(Cl)c1,1.027920136
N=C(N)N/N=C/c1c(Cl)cccc1Cl,1.886518925
NS(=O)(=O)C#Cc1ccccc1,1.027920136
O=C(CCCCCCC(=O)Nc1ccccc1)NO,1.437417582
CC#CCCNC(=O)c1cccnc1C,1.333245699
CC(C)CC(=O)Nc1cccnc1N(C)C,1.762746065
CC(C)NC(=O)CN(C)c1ccc(Cl)c(C#N)n1,1.940247458
CCC(=O)NCc1ccnc(N(C)C)c1,1.027920136
CCC(CC)NC(=O)c1ccc(C#N)c(C)n1,1.699013432
CCCCN(C)C(=O)Nc1cc(C)ccn1,2.353716244
CCCNC(=O)c1ccnc(N(C)C)c1,1.92171248
CCN(CC)C(=O)CSCc1cncc(F)c1,2.921820644
CCOc1cccc(NS(C)(=O)=O)n1,1.027920136
COc1c(C)cnc(CN(C)S(N)(=O)=O)c1C,1.913729104
Cc1cc(N(C)CC(C)(C)O)ncc1Br,2.986764123
Cc1cc(N(CCO)CCCO)ncc1Br,2.679317037
Cc1ccc(NC(=O)OCC(F)(F)F)cn1,1.547122159
Cc1ncccc1NC(=O)OC(C)(C)C,1.32417953
CC(=O)NCCOc1ccc2ccccc2n1,1.94992157
CC(=O)Nc1ccc2nc(C)cc(O)c2c1,1.027920136
CC(C)CCNC(=O)c1ccc2ccccc2n1,2.805974993
CCCC(=O)Nc1ccc(C)c2ncccc12,1.449200609
CCCCNC(=O)c1cccc2ncccc12,1.446832188
CCN(C)S(=O)(=O)N(C)Cc1cnc2ccccc2c1,3.364869049
CCN(CC)C(=O)Oc1cccc2cccnc12,2.275953681
CN(C)C(=O)CCNc1ccnc2ccc(Cl)cc12,1.863685612
CS(=O)(=O)CCNc1ccc2ccc(F)cc2n1,1.883161567
Cc1cc(NC(=O)[C@H](C)N(C)C)c2ccccc2n1,2.03661692
Cc1nc2ccccc2c(C(=O)O)c1C,1.027920136
N#Cc1cnc2ccccc2c1OCCO,1.10404303
O=C(O)c1cc(Cl)cc2cccnc12,1.027920136
COc1ccc(Cl)cc1NC(=O)CN1CCCN(c2ccc(C(F)(F)F)cn2)CC1,3.026313815
COc1ccc(NC(=O)C(C)N2CCCN(c3ccc(C(F)(F)F)cn3)CC2)cc1,3.286232753
Cc1ccc(C)c(NC(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)c1,3.288203602
Cc1ccc(NC(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)c(F)c1,2.808265003
Cc1ccc(NC(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)cc1,2.779713345
Cc1cccc(NC(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)c1,2.859452942
O=C(CN1CCCN(c2ccc(C(F)(F)F)cn2)CC1)Nc1cccc(F)c1,2.985315978
O=C(CN1CCCN(c2ccc(C(F)(F)F)cn2)CC1)Nc1ccccc1,2.906852008
O=C(CN1CCCN(c2ccc(C(F)(F)F)cn2)CC1)Nc1ccccc1Cl,3.218672284
O=C(CN1CCCN(c2ccc(C(F)(F)F)cn2)CC1)Nc1ccccc1F,3.040661666
