,smiles,LOG_HLM_CLint,LOG_RLM_CLint
0,Brc1cc2c(cc1Cn1cncn1)OCCCO2,0.886265059,2.357932942
1,Brc1ccc(-c2nnc(Cn3cnc4ccccc43)o2)o1,0.675686709,1.613704432
2,Brc1cnc(N2CCCN(c3ccccc3)CC2)nc1,2.081606511,3.753651376
3,Brc1nnc(N2CCC(OC3CCCC3)CC2)s1,1.888409783,3.492200892
4,C#CCN1CCC(c2nc(Cc3noc(C)n3)no2)CC1,0.675686709,1.10710817
5,C#CCN1CCC[C@H]1C(=O)Nc1cnn(-c2ncccn2)c1,0.675686709,1.921166051
6,C#CCN1CCN(C(=O)CCS(C)(=O)=O)CC1,0.675686709,1.027920136
7,C#CCN1CCN(Cc2nc(O)cc(C(F)(F)F)n2)CC1,0.675686709,1.027920136
8,C#CCNC(=O)CCc1c(C)nn(C)c1C,0.675686709,1.027920136
9,C#CCNC(=O)CN1CCCN(C(=O)c2cccc(C)n2)CC1,0.675686709,1.194764024
10,C#CCNC(=O)Cc1coc(-c2ccccc2)n1,1.430268606,2.150805545
11,C#CCNC(=O)Cc1coc2cc(OC)ccc12,1.188647296,2.263446689
12,C#CCNC(=O)N(Cc1ccccc1F)C1CCOCC1,0.675686709,1.549799964
13,C#CCNC(=O)c1cc(C(C)C)nn1CC,0.675686709,1.094610863
14,C#CCNC(=O)c1ccc2c(c1)OCO2,1.145755624,1.536823483
15,C#CCOc1ccc(C(=O)NN2CCCC2=O)cc1,0.675686709,1.027920136
16,C#CCOc1ccc(OC)cc1C(N)=O,1.139942023,1.8650862
17,C#C[C@@](C)(CC)NC(=O)c1cc(F)cnc1NC1CC(F)(F)C1,1.842771446,2.495928511
18,C#Cc1cccc(N(CC(=O)NC(N)=O)Cc2cccs2)c1,1.585990584,3.205708492
19,C#Cc1cccc(N(CCC(=O)NC(N)=O)Cc2cccs2)c1,1.710633471,3.030717892
20,C(=C/c1ccccc1)\CNCc1ccc2c(c1)OCO2,1.590016582,2.758029545
21,C/C(=C/COc1c2occc2cc2ccc(=O)oc12)CO,1.261286665,2.645545073
22,C/C=C/CC(=O)N1CCC(c2cc(Cc3ccccc3)n[nH]2)CC1,1.715736003,2.887008186
23,C/N=C(\NC#N)NCCSCc1nc[nH]c1C,0.675686709,1.027920136
24,C1CCC(OCc2noc(C3CC3)n2)CC1,1.532053339,2.570284855
25,C1CN(c2nc3c(c(N4CCSCC4)n2)SCC3)CCS1,2.099414736,3.183513834
26,C=C(C)COc1ccc(C(=O)NCCc2cn3ccccc3n2)cc1,2.062852629,3.339503514
27,C=C(C)COc1cccc(C(=O)NCc2nncn2C2CCCCC2)c1,2.199618068,3.319202281
28,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,0.675686709,1.027920136
29,C=CC(=O)N(C)CCOc1c(N)ncnc1-c1cc(F)cc(NC(=O)c2ccc(C3CC3)cc2F)c1C,1.89741814,3.308929409
30,C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,2.282135893,3.161600362
31,C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,1.761739954,2.758344821
32,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,2.7565,3.2433
