,smiles,LOG_MDR1-MDCK_ER,LOG_HLM_CLint,LOG_RLM_CLint
0,Brc1cc2c(cc1Cn1cncn1)OCCCO2,-0.247517736,0.886265059,2.357932942
1,Brc1ccc(-c2nnc(Cn3cnc4ccccc43)o2)o1,-0.01066854,0.675686709,1.613704432
2,Brc1nnc(N2CCC(OC3CCCC3)CC2)s1,-0.235023682,1.888409783,3.492200892
3,C#CCN1CCC(c2nc(Cc3noc(C)n3)no2)CC1,-0.135635396,0.675686709,1.10710817
4,C#CCN1CCC[C@H]1C(=O)Nc1cnn(-c2ncccn2)c1,0.596580622,0.675686709,1.921166051
5,C#CCNC(=O)CCc1c(C)nn(C)c1C,0.901164925,0.675686709,1.027920136
6,C#CCNC(=O)CN1CCCN(C(=O)c2cccc(C)n2)CC1,1.512232302,0.675686709,1.194764024
7,C#CCNC(=O)Cc1coc(-c2ccccc2)n1,-0.143320722,1.430268606,2.150805545
8,C#CCNC(=O)Cc1coc2cc(OC)ccc12,-0.189636069,1.188647296,2.263446689
9,C#CCNC(=O)N(Cc1ccccc1F)C1CCOCC1,0.332467729,0.675686709,1.549799964
10,C#CCNC(=O)c1cc(C(C)C)nn1CC,-0.067999286,0.675686709,1.094610863
11,C#CCNC(=O)c1ccc2c(c1)OCO2,-0.092231106,1.145755624,1.536823483
12,C#CCOc1ccc(C(=O)NN2CCCC2=O)cc1,0.120182762,0.675686709,1.027920136
13,C#CCOc1ccc(OC)cc1C(N)=O,-0.144326242,1.139942023,1.8650862
14,C#C[C@@](C)(CC)NC(=O)c1cc(F)cnc1NC1CC(F)(F)C1,-0.095595312,1.842771446,2.495928511
15,C#Cc1cccc(N(CC(=O)NC(N)=O)Cc2cccs2)c1,0.351122814,1.585990584,3.205708492
16,C#Cc1cccc(N(CCC(=O)NC(N)=O)Cc2cccs2)c1,0.27381245,1.710633471,3.030717892
17,C(=C/c1ccccc1)\CNCc1ccc2c(c1)OCO2,-0.471818046,1.590016582,2.758029545
18,C/C(=C/COc1c2occc2cc2ccc(=O)oc12)CO,-0.179355496,1.261286665,2.645545073
19,C/C=C/CC(=O)N1CCC(c2cc(Cc3ccccc3)n[nH]2)CC1,0.382653147,1.715736003,2.887008186
20,C1CCC(OCc2noc(C3CC3)n2)CC1,-0.053557685,1.532053339,2.570284855
21,C1CN(c2nc3c(c(N4CCSCC4)n2)SCC3)CCS1,-0.416802486,2.099414736,3.183513834
22,C=C(C)COc1cccc(C(=O)NCc2nncn2C2CCCCC2)c1,1.227240813,2.199618068,3.319202281
23,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,-0.306550112,0.675686709,1.027920136
24,C=CC(=O)N(C)CCOc1c(N)ncnc1-c1cc(F)cc(NC(=O)c2ccc(C3CC3)cc2F)c1C,1.938640339,1.89741814,3.308929409
25,C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,1.393231611,2.282135893,3.161600362
26,C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,1.705596867,1.761739954,2.758344821
27,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,0.72516,2.7565,3.2433
28,C=CC(=O)N1CCC[C@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,0.762732149,2.219660482,2.712971095
29,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,1.81723103,0.675686709,1.435764759
30,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1,0.595868979,1.506071875,2.591679978
31,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(Oc4ccnc(C(=O)NC)c4)cc3)ncc2F)c1,1.121361739,1.822599543,2.50806218
32,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,1.70375054,1.427680816,2.53699252
33,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccoc23)c1,1.342645173,1.209407768,2.516764029
34,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1,1.931719426,0.990827051,2.322653372
35,C=CCN(Cc1cccnc1)c1nc(C)nc2sccc12,-0.097742793,2.273702525,3.170271986
36,C=CCNC(=O)C1(Cc2ccc(-c3ccccc3)cc2)CCN(C(=O)c2cccnc2)CC1,1.447543942,1.884631128,2.746224617
37,C=CCNc1ncc(-c2cnccn2)c(C2CC2)n1,-0.275106636,1.113575717,2.865584809
38,C=CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21C,-0.118563535,1.764728927,2.772600387
39,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,1.802269168,1.515038878,1.831594655
40,C=CCn1cnc2c(Cl)cc(-c3ccc(C(=O)NC4CC4)o3)cc21,0.706522052,1.439837761,2.059729985
41,CC#CC(=O)N1CCC[C@@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,1.569956172,1.868620931,2.439157361
42,CC#CC(=O)N1CC[C@@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,1.460944843,1.329092647,2.272106283
43,CC#CC(=O)N1CC[C@@H](n2cc(-c3ccc(Oc4c(F)cccc4F)cc3)c3c(N)n[nH]c(=O)c32)C1,1.70079951,1.620136055,2.715512815
44,CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,0.860625544,1.397348966,2.376374361
45,CC#CCCNC(=O)c1cccnc1C,-0.122095506,0.675686709,1.333245699
46,CC#CCNc1ccc(-n2cnnn2)c(C)c1,-0.229335003,1.323417121,2.116617705
47,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,0.723417004,1.36660971,2.180916867
48,CC(=O)N(C)[C@@H]1CO[C@@H]2CCN(C[C@]3(O)CC[C@@H](C(C)(C)C)CC3)C[C@@H]2C[C@@]1(C)O,1.371127249,1.813207241,2.441376169
49,CC(=O)N(C)[C@H]1CC2(CCN(C(=O)COc3cc(C)c(Cl)c(C)c3)CC2)OC[C@]1(C)O,0.934178457,1.892484179,2.645137231
50,CC(=O)N(C)[C@H]1CC2(CCN(C(=O)COc3ccc(F)cc3F)CC2)OC[C@]1(C)O,1.174559267,0.675686709,1.188394071
51,CC(=O)N(c1ccc(C)cc1)c1nc(Cn2ccnc2)cs1,0.458426084,1.504362105,2.322802099
52,CC(=O)N1CCC(C(=O)Nc2nccs2)(c2ccccc2)CC1,1.594990506,0.758230408,2.372663501
53,CC(=O)N1CCC(CCNc2ccc3ccc(F)cc3n2)CC1,-0.099405474,1.332458659,2.421768401
54,CC(=O)N1CCC(CNc2nccc3cccnc23)CC1,0.279509348,0.675686709,1.907266213
55,CC(=O)N1CCC(Cn2ccnc2-c2cc3ccccc3s2)CC1,1.145125281,1.66738757,2.552634152
56,CC(=O)N1CCC(Nc2ncnc3cc(-c4ccc(Br)cc4)sc23)CC1,0.771514668,0.806654724,1.635905772
57,CC(=O)N1CCC(c2ccccn2)CC1,-0.10170638,0.675686709,1.027920136
58,CC(=O)N1CCC2(C=Cc3cc(C)c(C)cc3O2)CC1,-0.23750305,1.092194121,3.00812048
59,CC(=O)N1CCCN(C(=O)Cc2csc(C(C)C)n2)CC1,1.309571348,0.675686709,1.523304145
60,CC(=O)N1CCCN(C(=O)Nc2ccc(N(C)C3CCCCC3)c(F)c2)CC1,1.44974353,2.01371757,2.965628728
61,CC(=O)N1CCCN(Cc2c(C)nn(C)c2Cl)CC1,0.503474828,1.063971007,1.640908565
62,CC(=O)N1CCC[C@H]1C(=O)Nc1cccc(OC(F)F)c1,0.153630331,0.675686709,1.497593031
63,CC(=O)N1CCN(C(=O)CCc2ccc(-c3ccccc3)[nH]2)CC1,0.945804081,0.675686709,1.775544917
64,CC(=O)N1CCN(C(=O)CS(=O)(=O)C23CC4CC(CC(C4)C2)C3)CC1,1.012522768,0.675686709,2.47457754
65,CC(=O)N1CCN(C(=O)[C@H]2CCCCN2C(=O)OC(C)(C)C)CC1,0.97517027,0.675686709,1.027920136
66,CC(=O)N1CCN(C(=O)c2ccc(-c3ccc(F)cc3)cc2F)CC1,0.167829909,0.675686709,1.300552009
67,CC(=O)N1CCN(CCNC(=O)N2CCc3sccc3C2)CC1,1.482205221,1.005952287,1.870163865
68,CC(=O)N1CCN(Cc2nc(O)cc(C(F)(F)F)n2)C(C)(C)C1,1.424663435,0.675686709,1.027920136
69,CC(=O)N1CCN([C@H]2CCN(C(=O)c3cc4cc(C)ccc4o3)CC[C@@H]2O)CC1,1.589307341,0.861952375,2.18355738
70,CC(=O)N1CCN([C@H]2CCN(C(=O)c3cc4cc(Cl)ccc4o3)CC[C@@H]2O)CC1,1.577937842,0.905148002,1.986426848
71,CC(=O)N1CCN(c2c(Cl)cccc2NC(=O)COc2ccc(C(C)C)cc2)CC1,0.329482654,2.128396037,3.298423152
72,CC(=O)N1CCN(c2nc(C(F)(F)F)nc3sc(C)c(C)c23)CC1,0.087945428,1.633670406,2.335620355
73,CC(=O)N1CCN(c2ncc(-c3cc(C)no3)c([C@H]3CCCO3)n2)CC1,0.387457742,0.675686709,1.35987341
74,CC(=O)N1CC[C@H]2O[C@H]3c4ccc(O[C@@H]5O[C@H](CO)[C@@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)cc4OC(C)(C)[C@@H]3C[C@H]2C1,-0.170773856,0.675686709,1.027920136
75,CC(=O)N1CCc2ccc(N(C(=O)/C=C/c3cccc(C#N)c3)C3CCN(CCC4CCCC4)CC3)cc21,1.478418088,2.273635458,2.500914016
76,CC(=O)N1c2ccc(S(=O)(=O)Nc3cccc(-c4cnco4)c3)cc2CC1C,1.058844114,1.830165073,2.438528109
77,CC(=O)NC1(C(=O)N2CCCN(C3CC3)CC2)CCC(C)CC1,1.576442789,1.442181775,1.907669281
78,CC(=O)NC1(C(=O)N2CCCN(c3cccnn3)CC2)CCCCC1,1.338279842,0.888123307,1.320997417
79,CC(=O)NC1CCC(NCCSc2ccc(C)cc2)CC1,1.034395532,1.808946556,2.698079657
80,CC(=O)NC1CCC(NCCc2c(C)cccc2C)CC1,1.296131011,0.675686709,3.055740984
81,CC(=O)NC1CCN(Cc2cccc(-c3cccnc3)c2)CC1,1.132859343,0.781180721,1.626494345
82,CC(=O)NCC(=O)N1[C@@H]2CC[C@H]1c1ccc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)cc12,1.464313643,1.317394675,1.958473097
83,CC(=O)NCC1CCN(C(=O)c2ccc(C)nc2)CC1,2.112832101,0.675686709,1.027920136
84,CC(=O)NCC1CCN(C(=O)c2cncn2-c2ccc(F)cc2)CC1,1.774739359,0.675686709,1.467030635
85,CC(=O)NCCCC(=O)Nc1ccc(Oc2ccccc2Cl)cc1,0.9163842,0.982904118,2.858805992
86,CC(=O)NCCCOc1ccc(CN2C[C@H](Oc3cccc(C)c3)[C@@H](O)C2)cc1,1.493918028,1.083395108,2.742940262
87,CC(=O)NCCNc1cc(Cl)nn2c(-c3cccc(S(=O)(=O)N(C)C)c3)c(C)nc12,1.830458485,2.357256208,2.901441974
88,CC(=O)NC[C@H]1C[C@]2(C)[C@@H](CCCC[C@]2(C)O)N1CC1(O)CCCC1,0.913538362,0.675686709,2.030356805
